Model,Embedding,Max_Len,Dropout,CV_F1_Score
BiLSTM+Attention,Random,100,0.3,0.7259125370543025
BiLSTM+Attention,Random,50,0.3,0.7231160678373634
BiLSTM+Attention,Random,50,0.5,0.7006456211411467
BiLSTM+Attention,Random,100,0.5,0.7005059565442089
BiLSTM,Random,50,0.3,0.6896667786118131
CNN,Random,50,0.3,0.6780181571605018
CNN,Random,100,0.3,0.6748250831541371
CNN,Random,100,0.5,0.652500677701158
BiLSTM,Random,50,0.5,0.6496283758860691
CNN+LSTM,Random,50,0.3,0.6469903611033127
CNN,Random,50,0.5,0.6462878234696968
CNN+LSTM,Random,50,0.5,0.5467901107941039
BiLSTM+Attention,FastText,100,0.3,0.5102159182767848
BiLSTM+Attention,FastText,50,0.3,0.49935756841079443
BiLSTM+Attention,FastText,50,0.5,0.45211906595427664
CNN,FastText,100,0.3,0.45193739652137427
BiLSTM+Attention,FastText,100,0.5,0.44868745107025215
CNN,FastText,50,0.3,0.42789849704591276
CNN+LSTM,Random,100,0.3,0.3868280166684476
CNN,FastText,50,0.5,0.30931476561157795
CNN+LSTM,FastText,50,0.3,0.3047191969478307
CNN,FastText,100,0.5,0.2870998269652924
BiLSTM,Random,100,0.3,0.1989554993582362
CNN+LSTM,FastText,50,0.5,0.16097151467753734
BiLSTM,FastText,50,0.3,0.06744646197987265
BiLSTM,FastText,50,0.5,0.006358527391353747
CNN+LSTM,FastText,100,0.3,0.003152489217413554
CNN+LSTM,Random,100,0.5,0.0030093374873380705
CNN+LSTM,FastText,100,0.5,0.0029375268590411756
BiLSTM,Random,100,0.5,0.0026199305566276727
BiLSTM,FastText,100,0.5,0.0004392708104546453
BiLSTM,FastText,100,0.3,0.0004387751886443907
